Date,Asset Number,Client,Price,Inspection Type,Task,Start,Finish
2019-10-20,BP2 Crane 1,American Biaxis,"$1,200",Quarterly,American Biaxis,2019-10-20,2019-10-27
2019-10-20,15-Ton P&H Bridge Crane,AM Castle,"$1,200",Quarterly,AM Castle,2019-10-20,2019-10-27
2019-10-21,50775210,CP478,"$1,200",Quarterly,CP478,2019-10-21,2019-10-28
2019-10-21,50782823,CP478,"$1,200",Quarterly,CP478,2019-10-21,2019-10-28
2019-10-23,L4 hoist,IPCO,"$1,200",Quarterly,IPCO,2019-10-23,2019-10-30
2019-10-23,L3 hoist,IPCO,"$1,200",Quarterly,IPCO,2019-10-23,2019-10-30
2019-10-23,L1 hoist,IPCO,"$1,200",Quarterly,IPCO,2019-10-23,2019-10-30
2019-10-23,M1 air hoist,IPCO,"$1,200",Quarterly,IPCO,2019-10-23,2019-10-30
2019-10-23,M2 air hoist,IPCO,"$1,200",Quarterly,IPCO,2019-10-23,2019-10-30
2019-10-23,L2 hoist,IPCO,"$1,200",Quarterly,IPCO,2019-10-23,2019-10-30
2019-10-23,L11 air hoist,IPCO,"$1,200",Quarterly,IPCO,2019-10-23,2019-10-30
2019-10-23,Yard crane,Russel Metals,"$1,200",Quarterly,Russel Metals,2019-10-23,2019-10-30
2019-10-23,L10 air hoist,IPCO,"$1,200",Quarterly,IPCO,2019-10-23,2019-10-30
2019-10-24,South West,Capitol Steel,"$1,200",Quarterly,Capitol Steel,2019-10-24,2019-10-31
2019-10-25,Drott,CP478,"$1,200",Quarterly,CP478,2019-10-25,2019-11-01
2019-10-26,Zelus 15-Ton,Samuel Coil,"$1,200",Quarterly,Samuel Coil,2019-10-26,2019-11-02
2019-10-31,Provincial 15-Ton,Samuel Coil,"$1,200",Quarterly,Samuel Coil,2019-10-31,2019-11-07
2019-10-31,Mid Bay Larco 30-Ton,Samuel Coil,"$1,200",Quarterly,Samuel Coil,2019-10-31,2019-11-07
2019-10-31,Bay 3 Larco 30-Ton,Samuel Coil,"$1,200",Quarterly,Samuel Coil,2019-10-31,2019-11-07
2019-10-31,Bay 1 Provincial 10-Ton,Samuel Coil,"$1,200",Quarterly,Samuel Coil,2019-10-31,2019-11-07
2019-10-31,Bay 3 Zelud 40-Ton,Samuel Coil,"$1,200",Quarterly,Samuel Coil,2019-10-31,2019-11-07
2019-11-01,Shop 5 crane,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-01,2019-11-08
2019-11-01,Bridge Crane 3-TOn,Toromont Cat Wpg,"$1,200",Quarterly,Toromont Cat Wpg,2019-11-01,2019-11-08
2019-11-02,Shear A-1,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,B-4 Laser Jib,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Welding C-2,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Welding jib C-12,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Welding jib C-3,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Mill A-10 Jib,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Welding shop C-5 crane,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Weld shop C-8,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Welding shop jib D-2,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Center building E weld shop,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Maintenance shop jib,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Maintenance shop monorail #3,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Paint shop monorail,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-02,Weld shop jib E-2,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-02,2019-11-09
2019-11-03,Weld Shop Kone 10-Ton,Carte,"$1,200",Quarterly,Carte,2019-11-03,2019-11-10
2019-11-03,Southeast indoor crane,Capitol Steel,"$1,200",Quarterly,Capitol Steel,2019-11-03,2019-11-10
2019-11-03,50381257,CP478,"$1,200",Quarterly,CP478,2019-11-03,2019-11-10
2019-11-06,Welding shop E-3 crane,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-06,2019-11-13
2019-11-06,Welding shop E-4 crane,Vidir Machine Inc.,"$1,200",Quarterly,Vidir Machine Inc.,2019-11-06,2019-11-13
